Id,Start,Name,Impact,Currency
36adb358-3354-4f8e-a2ff-068f328e7d10,07/06/2012 12:30:00,Unemployment Rate,HIGH,USD
716088f4-5271-419c-9f73-535cece6b0b2,07/09/2012 01:30:00,Consumer Price Index (YoY),HIGH,CNY
ceeb6b35-5ab6-43dc-a6e0-9b2eca7577ca,07/09/2012 12:30:00,ECB's President Draghi speech,HIGH,EUR
367eb0b6-693d-4243-814d-60acb6897797,07/09/2012 15:30:00,BoE's Tucker speech,HIGH,GBP
85c2a694-e925-476d-bab8-a29dd074dfd8,07/11/2012 18:00:00,FOMC Minutes,HIGH,USD
6ac4fb5e-e4ec-4956-98e9-77403831a6fd,07/12/2012 03:00:00,BoJ Interest Rate Decision,HIGH,JPY
c4469997-d3d8-4a56-86b0-286f3dffd3fa,07/12/2012 04:00:00,"BoJ Monetary Policy Statement ",HIGH,JPY
51d9cac6-70c6-4d80-89a5-3de7c5970cbe,07/12/2012 08:00:00,ECB Monthly Report,HIGH,EUR
432ffa24-f6fc-4449-bddf-458309aad434,07/16/2012 00:00:00,Marine Day,NONE,JPY
7387c6f9-4dca-4931-94c9-c95d6e481422,07/16/2012 09:00:00,HICP (YoY),HIGH,EUR
3686f6a5-00da-4e83-91e4-8f631959e5a1,07/16/2012 09:00:00,"HICP-X F,E,A,T (YoY)",HIGH,EUR
1fdf56bc-dec0-4217-a677-9de5080fdc0f,07/17/2012 08:30:00,Consumer Price Index (YoY),HIGH,GBP
6b88fac9-bc7e-45a0-9d02-48f5cc8cef5d,07/17/2012 08:30:00,Core Consumer Price Index (YoY),HIGH,GBP
f17ee475-0f77-4721-bce3-3c5530a7e951,07/17/2012 12:30:00,Consumer Price Index (YoY),HIGH,USD
020588dc-d143-4341-b31f-592f6b1de553,07/17/2012 12:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
99d1554b-190a-416a-910f-002aedc7197d,07/17/2012 14:00:00,Fed's Chair Bernanke testifies,HIGH,USD
d2710385-fa9f-418e-83b6-3ac14956f47b,07/17/2012 23:50:00,BoJ Monetary Policy Meeting Minutes,HIGH,JPY
4935f5bc-0bbc-42bb-9a5e-3f49d567bfb8,07/18/2012 08:30:00,Bank of England Minutes,HIGH,GBP
87896be8-3ec6-496d-bd62-da919f421002,07/18/2012 08:30:00,Claimant Count Change,HIGH,GBP
d96e0bc0-ece6-4b20-aa21-9df1e9eb67e7,07/18/2012 14:00:00,Fed's Chair Bernanke testifies,HIGH,USD
08da695e-3b56-4d1b-b8be-30262168ae5d,07/19/2012 09:00:00,ECB Mid-Month Meeting,HIGH,EUR
59a6ff76-665b-4622-a862-e5e53012e681,07/24/2012 09:00:00,Troika visits Greece,HIGH,EUR
1535d30e-69c5-4b8f-a5b0-b065aba61920,07/26/2012 09:30:00,ECB's President Draghi speech,HIGH,EUR
dae57c8a-e9d4-4447-b70d-100785c055b8,08/01/2012 18:15:00,Fed Interest Rate Decision,HIGH,USD
e720dd5f-0e92-45e2-8042-318671a67312,08/01/2012 18:15:00,Fed's Monetary Policy Statement,HIGH,USD
6d796e6c-0108-4d94-98dd-3423d2a021c2,08/02/2012 09:00:00,Producer Price Index (YoY),HIGH,EUR
bd151e0f-8a73-4ed0-9f70-d81c03e797f6,08/02/2012 11:00:00,BoE Asset Purchase Facility,HIGH,GBP
c86f6c3b-71ea-4ab0-808a-e14229fa64e3,08/02/2012 11:00:00,BoE Interest Rate Decision,HIGH,GBP
ba0a889f-3d49-4537-ab4b-76f10aae4814,08/02/2012 11:45:00,ECB rate on main refinancing operations,HIGH,EUR
